iter	Passed	Remaining
0	40	40474
1	55	27554
2	50	16938
3	67	16687
4	87	17454
5	105	17400
6	127	18042
7	145	17987
8	163	17989
99	202	20008110	222	20013111	237	19560112	267	20283113	286	20173114	307	20162115	326	20075116	344	19922
17	352	19250
18	381	19685
19	401	19663
20	410	19131
21	430	19151
22	452	19211
23	468	19037
24	483	18875
25	502	18818
26	517	18662
27	535	18587
28	550	18444229	570	18438330	588	18395331	605	18313332	628	18431333	650	18472
34	666	18377
35	686	18386
36	705	18368
37	732	18540
38	755	18625
39	778	18686
40	800	18715
41	812	18536
42	829	18466
43	858	18646
44	878	18646
45	898	18638
46	917	18594
47	935	18552
48	958	18605
49	978	18599
50	997	18561
51	1012	18458
52	1030	18419
53	1049	18386
54	1065	18301
55	1081	18237
56	1098	18178
57	1119	18176
58	1135	18112
59	1154	18081
60	1177	18118
61	1198	18136
62	1217	18101
63	1246	18231
64	1267	18237
65	1281	18137
66	1302	18132
67	1322	18123
68	1344	18139
69	1361	18091
70	1390	18189
71	1410	18184
72	1434	18220
73	1451	18163
74	1468	18110
75	1487	18086
76	1511	18124
77	1536	18159
78	1561	18208
79	1579	18164
80	1594	18088
81	1613	18067
82	1629	18003
83	1649	17982
84	1668	17962
85	1689	17956
86	1706	17906
87	1723	17858
88	1744	17851
89	1760	17805
90	1775	17735
91	1795	17717
92	1810	17656
93	1835	17692
94	1855	17679
95	1873	17640
96	1889	17589
97	1906	17544
98	1922	17496
99	1944	17496
100	1964	17484
101	1981	17441
102	2001	17430
103	2018	17389
104	2033	17331
105	2053	17320
106	2069	17269
107	2087	17238
108	2107	17225
109	2122	17171
110	2137	17118
111	2160	17128
112	2175	17079
113	2196	17073
114	2211	17015
115	2225	16956
116	2240	16906
117	2259	16891
118	2287	16932
119	2309	16938
120	2330	16931
121	2346	16885
122	2365	16864
123	2389	16882
124	2407	16851
125	2421	16799
126	2442	16789
127	2461	16766
128	2476	16723
129	2489	16662
130	2506	16624
131	2522	16588
132	2538	16544
133	2562	16561
134	2580	16532
135	2600	16519
136	2618	16493
137	2633	16447
138	2651	16426
139	2665	16374
140	2682	16339
141	2700	16314
142	2720	16304
143	2736	16269
144	2755	16245
145	2774	16230
146	2795	16221
147	2813	16194
148	2834	16187
149	2852	16161
150	2869	16131
151	2892	16135
152	2905	16082
153	2920	16042
154	2942	16042
155	2956	15996
156	2981	16009
